data_pregao;codneg;preabe;premax;premin;premed;preult;totneg;quatot
02/01/2025;HYPE3;17.87;18.09;17.63;17.83;17.83;9826;2512400
02/01/2025;JALL3;4.65;4.67;4.51;4.56;4.56;1550;573500
02/01/2025;JBSS3;36.5;37.48;35.79;36.65;37.1;36937;8364400
02/01/2025;MILS3;8.42;8.42;8.21;8.32;8.3;3082;1048200
02/01/2025;KEPL3;9.34;9.41;9.06;9.23;9.34;5238;1320700
02/01/2025;MLAS3;1.08;1.08;1.03;1.05;1.05;2060;1139700
02/01/2025;MNDL3;16.97;16.97;16.97;16.97;16.97;1;200
02/01/2025;MOVI3;3.49;3.6;3.39;3.52;3.57;7380;5673000
02/01/2025;MRFG3;17.04;17.25;15.71;16.6;17.16;30594;14408900
02/01/2025;KLBN3;4.87;4.91;4.75;4.83;4.8;1629;648600
02/01/2025;KLBN4;4.55;4.58;4.51;4.54;4.52;2122;1283100
02/01/2025;BAZA3;86.99;86.99;84.15;85.42;84.15;20;2900
02/01/2025;BBAS3;24.17;24.28;23.84;23.94;23.92;40818;14492900
02/01/2025;AALR3;8.79;9.5;8.0;8.43;8.0;245;53000
02/01/2025;ABCB4;19.6;19.6;18.95;19.18;19.18;5691;1073300
02/01/2025;ABEV3;11.72;11.89;11.49;11.62;11.6;34246;33417900
02/01/2025;BMOB3;13.36;13.44;13.05;13.16;13.09;2058;405400
02/01/2025;BOBR4;1.83;1.88;1.77;1.82;1.79;78;29400
02/01/2025;CRPG5;20.0;20.0;19.38;19.65;19.9;11;1300
02/01/2025;CRPG6;20.01;20.24;19.72;20.04;20.24;6;800
02/01/2025;CSAN3;8.18;8.22;7.9;8.04;8.02;32553;16226100
02/01/2025;ELMD3;28.47;28.51;28.19;28.38;28.45;893;205500
02/01/2025;EMAE4;42.29;42.29;40.01;41.1;41.0;3;300
02/01/2025;EMBR3;56.5;57.98;56.39;57.55;57.8;28301;6475600
02/01/2025;GMAT3;6.33;6.37;6.05;6.13;6.05;12748;6335200
02/01/2025;GOAU3;10.11;10.27;10.05;10.12;10.25;139;30600
