CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CD_ATIVO;DS_ATIVO;QT_POS_FINAL;VL_MERC_POS_FINAL;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC
01630152000130;SANTANDER BREMEN MULTIMERCADO - FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;AMER3;AMERICANAS   ON      NM;42370;2758287;0.0;0.0;0.0;0.0
01912197000106;FPRV1 SABIÁ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;ALPK3;ESTAPAR      ON      NM;8934900;22069203;0.0;0.0;0.0;0.0
01912197000106;FPRV1 SABIÁ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;CLSC3;CELESC       ON      N2;2281400;182215418;0.0;0.0;0.0;0.0
01912197000106;FPRV1 SABIÁ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;CLSC4;CELESC       PN      N2;132000;10557360;0.0;0.0;0.0;0.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;BRAV3;BRAVA        ON      NM;7000;157010;4000.0;97720.0;0.0;0.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;EMBR3;EMBRAER      ON      NM;12000;716400;0.0;0.0;0.0;0.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;HAPV3;HAPVIDA      ON      NM;217000;525140;0.0;0.0;67000.0;162470.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;JBSS3;JBS          ON      NM;19000;673360;0.0;0.0;3000.0;109080.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;LREN3;LOJAS RENNER ON      NM;5000;68250;12000.0;161160.0;11000.0;143110.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;MRFG3;MARFRIG      ON  ED  NM;7000;111230;350.0;58835.0;0.0;0.0
03077193000177;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;NTCO3;GRUPO NATURA ON      NM;20000;252400;0.0;0.0;0.0;0.0
