CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CD_ATIVO;DS_ATIVO;QT_POS_FINAL;VL_MERC_POS_FINAL;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC
02010153000145;BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;MRVE3;MRV          ON      NM;26000;204880;0.0;0.0;26000.0;2145984.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;ASAI3;ASSAI        ON      NM;6650;90839;0.0;0.0;200.0;2802.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;COGN3;COGNA ON     ON      NM;8980;262216;0.0;0.0;300.0;882.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;HYPE3;HYPERA       ON      NM;2050;650465;0.0;0.0;100.0;3149.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;LWSA3;LWSA         ON      NM;2000;10920;0.0;0.0;100.0;528.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;RAIL3;RUMO S.A.    ON      NM;6060;1397436;0.0;0.0;200.0;4510.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;RRRP3;3R PETROLEUM ON      NM;1190;325822;0.0;0.0;100.0;2795.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;ABEV3;AMBEV S/A    ON;21770;2847516;0.0;0.0;700.0;9121.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;MRVE3;MRV          ON      NM;1850;14578;0.0;0.0;0.0;0.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;SOMA3;GRUPO SOMA   ON      NM;2470;195624;0.0;0.0;100.0;668.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;YDUQ3;YDUQS PART   ON      NM;1400;26992;0.0;0.0;0.0;0.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;BRFS3;BRF SA       ON      NM;8320;116064;0.0;0.0;300.0;4098.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;CIEL3;CIELO        ON;5460;271362;0.0;0.0;200.0;946.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;EMBR3;EMBRAER      ON      NM;3650;83147;0.0;0.0;100.0;2286.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;MRFG3;MARFRIG      ON      NM;1650;155265;0.0;0.0;100.0;925.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;SBSP3;SABESP       ON      NM;1650;130119;0.0;0.0;0.0;0.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;WEGE3;WEG          ON      NM;7340;2373756;0.0;0.0;200.0;6616.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;ELET3;ELETROBRAS   ON      N1;9800;399938;0.0;0.0;300.0;12132.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;EQTL3;EQUATORIAL   ON  EJS NM;5480;1941564;0.0;0.0;200.0;6958.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;HAPV3;HAPVIDA      ON      NM;21800;84584;0.0;0.0;700.0;2653.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;PRIO3;PETRORIO     ON      NM;4000;175720;0.0;0.0;200.0;8822.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;VIVT3;TELEF BRASIL ON;2100;107856;0.0;0.0;100.0;5079.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;LREN3;LOJAS RENNER ON      NM;4770;765585;0.0;0.0;200.0;3106.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;PETR3;PETROBRAS    ON      N2;11800;497488;0.0;0.0;400.0;16812.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;SMTO3;SAO MARTINHO ON      NM;700;19733;0.0;0.0;0.0;0.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;VALE3;VALE         ON      NM;20880;14148288;0.0;0.0;800.0;55000.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;BBSE3;BBSEGURIDADE ON      NM;3300;113025;0.0;0.0;100.0;3386.0
02661252000197;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;BHIA3;CASAS BAHIA  ON      NM;520;41028;0.0;0.0;100.0;760.0
