CD_ATIVO;Setor
AMER3;Consumo Ciclico
ALPK3;Industriais
CLSC3;Utilidades
CLSC4;Utilidades
BRAV3;Energia
EMBR3;Industriais
HAPV3;Servicos Financeiros
JBSS3;Consumo Defensivo
LREN3;Consumo Ciclico
MRFG3;Consumo Defensivo
NTCO3;Consumo Ciclico
RAIL3;Industriais
SLCE3;Consumo Defensivo
TIMS3;Servicos de Comunicacao
ALOS3;Imoveis
ASAI3;Consumo Defensivo
B3SA3;Servicos Financeiros
BBSE3;Servicos Financeiros
BRFS3;Consumo Defensivo
CPLE3;Utilidades
CSAN3;Energia
ECOR3;Industriais
IRBR3;Servicos Financeiros
PRIO3;Energia
RENT3;Industriais
UGPA3;Energia
VALE3;Materiais Basicos
AZZA3;Consumo Ciclico
BBAS3;Servicos Financeiros
DIRR3;Imoveis
ENEV3;Utilidades
EQTL3;Utilidades
HYPE3;Saude
MULT3;Imoveis
RADL3;Saude
STBP3;Industriais
SUZB3;Materiais Basicos
VIVA3;Consumo Ciclico
WEGE3;Industriais
YDUQ3;Consumo Defensivo
ABEV3;Consumo Defensivo
BBDC3;Servicos Financeiros
CCRO3;Industriais
CURY3;Imoveis
CXSE3;Servicos Financeiros
ELET3;Utilidades
GMAT3;Consumo Ciclico
INTB3;Tecnologia
PETR3;Energia
PETZ3;Consumo Ciclico
PSSA3;Servicos Financeiros
RECV3;Energia
SBSP3;Utilidades
TOTS3;Tecnologia
VBBR3;Consumo Ciclico
VIVT3;Servicos de Comunicacao
VULC3;Consumo Ciclico
ITSA4;Industriais
ITUB4;Servicos Financeiros
BRKM5;Materiais Basicos
GOAU4;Materiais Basicos
PETR4;Energia
BBDC4;Servicos Financeiros
ELET6;Utilidades
GGBR4;Materiais Basicos
CMIG4;Utilidades
CPLE6;Utilidades
POMO4;Industriais
MRVE3;Imoveis
BEEF3;Consumo Defensivo
LWSA3;Tecnologia
AURE3;Utilidades
CRFB3;Consumo Defensivo
FLRY3;Saude
RDOR3;Saude
CSNA3;Materiais Basicos
CVCB3;Consumo Ciclico
COGN3;Consumo Defensivo
CPFE3;Utilidades
MGLU3;Consumo Ciclico
PCAR3;Consumo Ciclico
CMIN3;Materiais Basicos
CYRE3;Consumo Ciclico
AMOB3;Consumo Ciclico
EGIE3;Utilidades
SMTO3;Materiais Basicos
VAMO3;Industriais
USIM5;Materiais Basicos
BRAP4;Servicos Financeiros
AZUL4;Industriais
RAIZ4;Utilidades
ISAE4;Utilidades
AMBP3;Industriais
CEAB3;Consumo Ciclico
CSMG3;Utilidades
EZTC3;Imoveis
GGPS3;Industriais
MOVI3;Industriais
ONCO3;Saude
SMFT3;Consumo Ciclico
TEND3;Imoveis
ALPA4;Consumo Ciclico
ANIM3;Consumo Defensivo
MEAL3;Consumo Ciclico
ORVR3;Industriais
SIMH3;Industriais
SRNA3;Utilidades
ABCB4;Servicos Financeiros
BPAN4;Servicos Financeiros
GSHP3;Imoveis
PTBL3;Industriais
PTNT3;Consumo Ciclico
SHOW3;Consumo Ciclico
BRSR6;Servicos Financeiros
PTNT4;Consumo Ciclico
DESK3;Servicos de Comunicacao
PNVL3;Saude
CEBR3;Utilidades
COCE5;Utilidades
FRAS3;Consumo Ciclico
MDNE3;Imoveis
PRNR3;Industriais
ITUB3;Servicos Financeiros
KEPL3;Industriais
MDIA3;Consumo Defensivo
ELMD3;Consumo Ciclico
MLAS3;Tecnologia
ENGI4;Utilidades
CGRA3;Consumo Ciclico
CGRA4;Consumo Ciclico
OIBR3;Servicos de Comunicacao
TTEN3;Materiais Basicos
SCAR3;Imoveis
CEEB3;Utilidades
MELK3;Imoveis
NEOE3;Utilidades
POMO3;Industriais
POSI3;Tecnologia
