CD_ATIVO;Setor;Industria
MRVE3;Real Estate;Real Estate - Development
ASAI3;Consumer Defensive;Grocery Stores
COGN3;Consumer Defensive;Education & Training Services
HYPE3;Healthcare;Drug Manufacturers - Specialty & Generic
LWSA3;Technology;Software - Infrastructure
RAIL3;Industrials;Railroads
RRRP3;;
ABEV3;Consumer Defensive;Beverages - Brewers
SOMA3;;
YDUQ3;Consumer Defensive;Education & Training Services
BRFS3;Consumer Defensive;Packaged Foods
CIEL3;;
EMBR3;Industrials;Aerospace & Defense
MRFG3;Consumer Defensive;Packaged Foods
SBSP3;Utilities;Utilities - Regulated Water
WEGE3;Industrials;Electrical Equipment & Parts
ELET3;Utilities;Utilities - Renewable
EQTL3;Utilities;Utilities - Regulated Electric
HAPV3;Financial Services;Insurance - Life
PRIO3;Energy;Oil & Gas E&P
VIVT3;Communication Services;Telecom Services
LREN3;Consumer Cyclical;Department Stores
PETR3;Energy;Oil & Gas Integrated
SMTO3;Basic Materials;Specialty Chemicals
VALE3;Basic Materials;Other Industrial Metals & Mining
BBSE3;Financial Services;Insurance - Diversified
BHIA3;Consumer Cyclical;Specialty Retail
CPFE3;Utilities;Utilities - Regulated Electric
CYRE3;Consumer Cyclical;Residential Construction
CRFB3;;
MULT3;Real Estate;Real Estate Services
RECV3;Energy;Oil & Gas E&P
SUZB3;Basic Materials;Paper & Paper Products
TIMS3;Communication Services;Telecom Services
VBBR3;Consumer Cyclical;Specialty Retail
B3SA3;Financial Services;Financial Data & Stock Exchanges
BBAS3;Financial Services;Banks - Regional
BBDC3;Financial Services;Banks - Regional
BEEF3;Consumer Defensive;Farm Products
CCRO3;;
NTCO3;;
PETZ3;Consumer Cyclical;Specialty Retail
SLCE3;Consumer Defensive;Farm Products
VAMO3;Industrials;Rental & Leasing Services
ARZZ3;;
CMIN3;Basic Materials;Steel
FLRY3;Healthcare;Diagnostics & Research
RADL3;Healthcare;Pharmaceutical Retailers
RENT3;Industrials;Rental & Leasing Services
TOTS3;Technology;Software - Application
ALOS3;Real Estate;Real Estate Services
CSAN3;Energy;Oil & Gas Refining & Marketing
CSNA3;Basic Materials;Steel
EGIE3;Utilities;Utilities - Renewable
EZTC3;Real Estate;Real Estate - Development
JBSS3;;
MGLU3;Consumer Cyclical;Specialty Retail
PCAR3;Consumer Cyclical;Department Stores
CVCB3;Consumer Cyclical;Travel Services
ENEV3;Utilities;Utilities - Diversified
RDOR3;Healthcare;Medical Care Facilities
UGPA3;Energy;Oil & Gas Refining & Marketing
TRPL4;;
RAIZ4;Utilities;Utilities - Renewable
PETR4;Energy;Oil & Gas Integrated
BRKM5;Basic Materials;Chemicals
CMIG4;Utilities;Utilities - Diversified
ELET6;Utilities;Utilities - Renewable
AZUL4;Industrials;Airlines
GGBR4;Basic Materials;Steel
USIM5;Basic Materials;Steel
BBDC4;Financial Services;Banks - Regional
CPLE6;Utilities;Utilities - Regulated Electric
GOAU4;Basic Materials;Steel
BRAP4;Financial Services;Asset Management
STBP3;Industrials;Marine Shipping
ITUB3;Financial Services;Banks - Regional
JHSF3;Real Estate;Real Estate - Development
PDGR3;Real Estate;Real Estate - Development
GMAT3;Consumer Cyclical;Department Stores
VIVA3;Consumer Cyclical;Luxury Goods
CURY3;Real Estate;Real Estate - Development
MATD3;Healthcare;Medical Care Facilities
ONCO3;Healthcare;Medical Care Facilities
ITSA4;Industrials;Conglomerates
ITUB4;Financial Services;Banks - Regional
POMO4;Industrials;Farm & Heavy Construction Machinery
RANI3;Consumer Cyclical;Packaging & Containers
